Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature1,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature2,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder
0,0,0.085,0.4,0.168539325842697,1,0,0.0274509803921569,1,1,1,0.330508474576271,0.286262593954902,0,0.487544483985765,0.0726744186046512,0.327124563445867,0.926470588235294,1,0,0.215447154471545,0,0.816192560175055,0.0728508984944148,1,1,1,1,0,1,1,1,0.28897978825794,0.357142857142857,0.903448275862069,0.407846039970392,0.401651651651652,0.401792382374907,0.408650260999254,0.288863946123627,0,0.5,0.333333333333333,0.403100775193798,0.530054644808743,0.5,0.00277847941399343,0.53968253968254,0.508196721311475,0.0126582278481013,0.481711393372171,0.34238208347472,0.888888888888889,0,
0.0421545667447307,0,0.071,0.42051282051282,0.202247191011236,1,0,1,1,0,1,0.398305084745763,0.231728770190309,0.16866028708134,0.416370106761566,0.216085271317829,0.571594877764843,0.926470588235294,1,0.16866028708134,0.242886178861789,0.24390243902439,0.795404814004376,0.218067022826615,1,1,1,1,0,1,1,1,0.231280076997113,0.142857142857143,0.806896551724138,0.119170984455959,0.118618618618619,0.11949215832711,0.120059656972409,0.231299607151447,1,0,0.333333333333333,0.116279069767442,0.551912568306011,0.5,0.00252589037635767,0.507936507936508,0.573770491803279,0,0.493553624295674,0.764166949440109,0.444444444444444,0,
0.00702576112412178,0,0.075,0.4,0,1,0,0.00392156862745098,1,0,1,0.330508474576271,0.251079481848713,0,0.444839857651246,0.258236434108527,0.476135040745052,0.933823529411765,1,0,0.211382113821138,0,0.769146608315098,0.258863525983487,1,1,1,1,0,1,1,1,0.253448829002246,0.428571428571429,0.917241379310345,0.459659511472983,0.454954954954955,0.458551157580284,0.460850111856823,0.253427403190892,1,0,0.333333333333333,0.457364341085271,0.540983606557377,0.5,0.00277847941399343,0.396825396825397,0.562841530054645,0,0.49469964664311,0.40855106888361,0.666666666666667,1,
0.0257611241217799,0,0.061,0.5,0,1,0,0.00784313725490196,1,0,1,0.466101694915254,0.205981129058052,0.102870813397129,0.444839857651246,0.178294573643411,0.50174621653085,0.904411764705882,1,0.102870813397129,0.186991869918699,0.280487804878049,0.726477024070022,0.178727537639631,1,1,1,1,0,1,1,1,0.238530638434392,0.214285714285714,0.903448275862069,0.181347150259067,0.18018018018018,0.179238237490665,0.181953765846383,0.238515192816484,1,0,0.333333333333333,0.178294573643411,0.53551912568306,0.5,0.0030310684516292,0.380952380952381,0.573770491803279,0,0.521535669945564,0.673227010519172,0.333333333333333,0,
0.11943793911007,0,0.141,0.458974358974359,0.185393258426966,1,0,0.0156862745098039,1,0,1,0.398305084745763,0.31888693427155,0.421052631578947,0.487544483985765,0.364825581395349,0.759022118742724,0.911764705882353,1,0.421052631578947,0.50609756097561,0.280487804878049,0.842450765864333,0.365711510441962,1,1,1,1,0,1,1,1,0.319778633301251,0.357142857142857,0.924137931034483,0.448556624722428,0.448948948948949,0.448095593726662,0.448173005219985,0.319778722039606,0,1,0.333333333333333,0.449612403100775,0.562841530054645,0.5,0.0030310684516292,0.492063492063492,0.568306010928962,0.0126582278481013,0.508069907363194,0.648795385137428,0.777777777777778,1,
0.0960187353629976,0,0.122,0.4,0.129213483146067,1,0,0,1,0,1,0.330508474576271,0.291859907244523,0.38755980861244,0.540925266903915,0.435562015503876,0.772991850989523,0.911764705882353,1,0.38755980861244,0.470528455284553,0.280487804878049,0.829321663019694,0.436619718309859,1,1,1,1,0,1,1,1,0.266762913057427,0.214285714285714,0.924137931034483,0.204293116210215,0.198948948948949,0.200149365197909,0.205070842654735,0.266944600336727,0,1,0.333333333333333,0.201550387596899,0.573770491803279,0.5,0.00252589037635767,0.507936507936508,0.557377049180328,0,0.491357081463089,0.553104852392263,0.111111111111111,1,
0.0562060889929742,0.0594758064516129,0.089,0.3,0.303370786516854,1,0,0.0235294117647059,1,0,1,0.203389830508475,0.226291380137534,0.318181818181818,0.540925266903915,0.323158914728682,0.738067520372526,0.933823529411765,1,0.318181818181818,0.398373983739837,0.280487804878049,0.735229759299781,0.323943661971831,1,1,1,1,0,1,1,1,0.21283285210138,0.214285714285714,0.958620689655172,0.162842339008142,0.156906906906907,0.157580283793876,0.16331096196868,0.21290788102301,0,1,0.333333333333333,0.162790697674419,0.557377049180328,0.5,0.00277847941399343,0.507936507936508,0.557377049180328,0,0.492980613121956,0.61520190023753,1E-07,1,
0.0398126463700234,0,0.066,0.458974358974359,0.0280898876404494,1,0,0.0235294117647059,1,0,1,0.466101694915254,0.255397409243563,0.163875598086124,0.487544483985765,0.206395348837209,0.681024447031432,0.926470588235294,1,0.159090909090909,0.211382113821138,0.24390243902439,0.795404814004376,0.207382224380767,1,1,1,1,0,1,1,1,0.266923323708694,0.142857142857143,0.917241379310345,0.142857142857143,0.135885885885886,0.135175504107543,0.142431021625653,0.266896496432294,1,0,0.333333333333333,0.13953488372093,0.540983606557377,0.5,0.00277847941399343,0.444444444444444,0.540983606557377,0,0.494317639193964,0.592127587376994,0.222222222222222,0,
0.0480093676814988,0.0745967741935484,0.089,0.379487179487179,0.213483146067416,1,0,0,1,0,1,0.466101694915254,0.226131456900688,0.228468899521531,0.473309608540925,0.309108527131783,0.781140861466822,0.911764705882353,1,0.228468899521531,0.286585365853659,0.280487804878049,0.74398249452954,0.309859154929577,1,1,1,1,0,1,1,1,0.216442091754893,0.285714285714286,0.917241379310345,0.218356772760918,0.210960960960961,0.209858103061987,0.218493661446682,0.216387396777038,1,0,0.333333333333333,0.217054263565891,0.551912568306011,0.5,0.00277847941399343,0.53968253968254,0.573770491803279,0,0.493076114984242,0.739395995928062,0.777777777777778,1,
0.0245901639344262,0,0.061,0.661538461538461,0.140449438202247,1,0,0.0235294117647059,1,0,1,0.533898305084746,0.207420438189669,0.107655502392345,0.430604982206406,0.24031007751938,0.633294528521537,0.904411764705882,1,0.107655502392345,0.167682926829268,0.24390243902439,0.713347921225383,0.240893637688198,1,1,1,1,0,1,1,1,0.250721847930703,0.428571428571429,0.917241379310345,0.455218356772761,0.451201201201201,0.448842419716206,0.455630126771066,0.250669446003367,1,0,0.333333333333333,0.457364341085271,0.540983606557377,0.5,0.0030310684516292,0.492063492063492,0.557377049180328,0,0.49288511125967,0.540889039701391,0.9999999,1,
