Long_Term_Fuel_Trim_Bank1,Engine_soacking_time,Engine_coolant_temperature2,Torque_of_friction,Intake_air_pressure,Activation_of_Air_compressor,Time(s),Accelerator_Pedal_value,Engine_torque,Maximum_indicated_engine_torque,PathOrder,Throttle_position_signal,Engine_torque_after_correction,Engine_coolant_temperature1
0.466101694915254,0.0235294117647059,0.903448275862069,0.430604982206406,0.191011235955056,1,0.404139803189684,0,0.144736842105263,0.701312910284464,1,0.066,0.144736842105263,0.919117647058824,
0.330508474576271,0.0117647058823529,0.903448275862069,0.459074733096085,0.51123595505618,1,0.858160841533763,0.192540322580645,0.61244019138756,0.833698030634573,1,0.244,0.61244019138756,0.911764705882353,
0.330508474576271,0.0235294117647059,0.903448275862069,0.387900355871886,0.387640449438202,1,0.421445537835087,0.157258064516129,0.480861244019139,0.820568927789934,1,0.165,0.480861244019139,0.911764705882353,
0.330508474576271,0.0117647058823529,0.924137931034483,0.459074733096085,0.303370786516854,1,0.478113335595521,0.0987903225806452,0.336124401913876,0.795404814004376,0,0.108,0.340909090909091,0.911764705882353,
0.466101694915254,0.0117647058823529,0.910344827586207,0.555160142348754,0.342696629213483,1,0.0305395317271802,0,0.266746411483254,0.598468271334792,1,0.071,0.266746411483254,0.926470588235294,
0.330508474576271,0.00392156862745098,0.875862068965517,0.430604982206406,0.410112359550562,1,0.7119104173736,0.20866935483871,0.514354066985646,0.838074398249453,0,0.165,0.519138755980861,0.911764705882353,
0.398305084745763,0.0235294117647059,0.910344827586207,0.430604982206406,0.162921348314607,1,0.283678316932474,0,0.130382775119617,0.722100656455142,1,0.066,0.130382775119617,0.919117647058824,
0.330508474576271,0.00392156862745098,0.8,0.362989323843416,0.48314606741573,1,0.347132677298948,0.220766129032258,0.583732057416268,0.820568927789934,0,0.207,0.583732057416268,0.919117647058824,
0.398305084745763,0.0117647058823529,0.924137931034483,0.516014234875445,0.264044943820225,1,0.373939599592806,0.0201612903225806,0.238038277511962,0.683807439824945,1,0.071,0.238038277511962,0.919117647058824,
0.466101694915254,0.00392156862745098,0.668965517241379,0.487544483985765,0.308988764044944,1,0.199864268747879,0,0.233253588516746,0.602844638949672,0,0.066,0.228468899521531,0.926470588235294,
0.398305084745763,0.00392156862745098,0.668965517241379,0.487544483985765,0.308988764044944,1,0.201900237529691,0,0.228468899521531,0.602844638949672,0,0.066,0.233253588516746,0.926470588235294,
0.330508474576271,0.0235294117647059,0.903448275862069,0.373665480427046,0.410112359550562,1,0.424838819138107,0.17741935483871,0.490430622009569,0.811816192560175,1,0.16,0.490430622009569,0.911764705882353,
0.398305084745763,0.0235294117647059,0.924137931034483,0.459074733096085,0.146067415730337,1,0.531387852052935,0.00403225806451613,0.107655502392345,0.824945295404814,1,0.071,0.11244019138756,0.889705882352941,
0.533898305084746,0.0235294117647059,0.910344827586207,0.444839857651246,0.314606741573034,1,0.58975229046488,0,0.238038277511962,0.598468271334792,1,0.066,0.238038277511962,0.911764705882353,
0.466101694915254,0.00392156862745098,0.875862068965517,0.459074733096085,0.308988764044944,1,0.617916525279946,0,0.228468899521531,0.594091903719912,0,0.066,0.228468899521531,0.933823529411765,
0.466101694915254,0.0235294117647059,0.868965517241379,0.459074733096085,0.314606741573034,1,0.0570071258907363,0,0.233253588516746,0.594091903719912,1,0.071,0.233253588516746,0.933823529411765,
0.466101694915254,0.0117647058823529,0.889655172413793,0.540925266903915,0.230337078651685,1,0.480488632507635,0,0.181818181818182,0.632385120350109,1,0.071,0.181818181818182,0.919117647058824,
0.466101694915254,0.00392156862745098,0.703448275862069,0.487544483985765,0.162921348314607,1,0.245334238208347,0,0.12200956937799,0.658643326039387,0,0.052,0.12200956937799,0.911764705882353,
0.271186440677966,0.0235294117647059,0.910344827586207,0.416370106761566,0.342696629213483,1,0.464200882253139,0.165322580645161,0.401913875598086,0.87199124726477,1,0.169,0.401913875598086,0.919117647058824,
0.398305084745763,0.0235294117647059,0.910344827586207,0.444839857651246,0.157303370786517,1,0.251102816423482,0,0.107655502392345,0.726477024070022,1,0.066,0.107655502392345,0.911764705882353,
0.466101694915254,0.0117647058823529,0.910344827586207,0.487544483985765,0.320224719101124,1,0.790295215473363,0,0.238038277511962,0.594091903719912,1,0.066,0.238038277511962,0.926470588235294,
0.466101694915254,0.0117647058823529,0.896551724137931,0.516014234875445,0.258426966292135,1,0.467254835425857,0,0.177033492822967,0.615973741794311,1,0.071,0.177033492822967,0.919117647058824,
0.466101694915254,0.0117647058823529,0.903448275862069,0.540925266903915,0.320224719101124,1,0.140481845945029,0,0.238038277511962,0.598468271334792,1,0.066,0.238038277511962,0.926470588235294,
0.466101694915254,0.0117647058823529,0.910344827586207,0.540925266903915,0.325842696629214,1,0.953172718018324,0,0.233253588516746,0.594091903719912,1,0.066,0.228468899521531,0.919117647058824,
0.533898305084746,0.0117647058823529,0.896551724137931,0.516014234875445,0.213483146067416,1,0.163556158805565,0,0.16866028708134,0.658643326039387,0,0.071,0.16866028708134,0.911764705882353,
0.533898305084746,0.0117647058823529,0.924137931034483,0.540925266903915,0.207865168539326,1,0.435697319307771,0,0.135167464114833,0.636761487964989,0,0.057,0.135167464114833,0.911764705882353,
0.330508474576271,0.0117647058823529,0.896551724137931,0.516014234875445,0.320224719101124,1,0.0933152358330506,0.0987903225806452,0.33133971291866,0.854485776805252,0,0.122,0.33133971291866,0.911764705882353,
0.466101694915254,0.0117647058823529,0.896551724137931,0.516014234875445,0.314606741573034,1,0.100101798439091,0,0.228468899521531,0.602844638949672,0,0.071,0.228468899521531,0.904411764705882,
0.466101694915254,0.0117647058823529,0.896551724137931,0.487544483985765,0.320224719101124,1,0.110620970478453,0,0.238038277511962,0.594091903719912,0,0.071,0.238038277511962,0.933823529411765,
0.398305084745763,0.00392156862745098,0.703448275862069,0.459074733096085,0.179775280898876,1,0.243637597556837,0,0.11244019138756,0.688183807439825,0,0.061,0.117224880382775,0.911764705882353,
0.466101694915254,0.0235294117647059,0.903448275862069,0.444839857651246,0.196629213483146,1,0.417034272141161,0.0625,0.205741626794258,0.739606126914661,1,0.085,0.205741626794258,0.919117647058824,
0.330508474576271,0.00392156862745098,0.772413793103448,0.444839857651246,0.292134831460674,1,0.319307770614184,0.105846774193548,0.33133971291866,0.87199124726477,0,0.127,0.326555023923445,0.911764705882353,
0.601694915254237,0.0235294117647059,0.903448275862069,0.516014234875445,0.117977528089888,1,0.638615541228368,0,0.0466507177033493,0.739606126914661,1,0.057,0.0466507177033493,0.904411764705882,
